Team,Team Score,Opponent,Opponent Score,Map,Team Ranking (points),Opponent Ranking (points),Result
Titan,13,Virtus.pro,16,trn,639,160,loss
NiP,8,mousesports,16,mrg,328,639,loss
CLG,10,Luminosity,16,cbl,328,639,loss
Cloud9,16,Conquest,6,d2,430,639,win
Cloud9,12,CLG,16,cch,430,639,loss
CLG,4,Luminosity,16,cch,430,639,loss
Liquid,16,Luminosity,6,cbl,321,639,win
CLG,16,Liquid,12,inf,321,321,win
NiP,16,EnVyUs,9,cbl,328,83,win
NiP,16,Dignitas,4,trn,328,83,win
EnVyUs,16,Natus Vincere,9,mrg,83,620,win
Virtus.pro,16,Titan,7,trn,160,620,win
TSM,16,G2,6,d2,160,242,win
fnatic,13,Luminosity,16,inf,604,242,loss
Dignitas,14,CLG,16,cbl,604,242,loss
Liquid,11,NiP,16,mrg,321,328,loss
FlipSid3,8,mousesports,16,ovp,321,639,loss
Vexed,13,Cloud9,16,cbl,321,430,loss
Natus Vincere,16,CLG,12,cbl,620,430,win
EnVyUs,16,Dignitas,6,cbl,83,430,win
NiP,13,Titan,16,cbl,328,430,loss
Virtus.pro,19,Liquid,15,cbl,160,321,win
G2,16,mousesports,8,inf,242,639,win
TSM,16,FlipSid3,6,cch,242,639,win
Luminosity,16,Cloud9,11,d2,242,430,win
fnatic,16,Vexed,10,cbl,604,430,win
mousesports,14,EnVyUs,16,ovp,639,83,loss
mousesports,19,Natus Vincere,17,mrg,639,620,win
HellRaisers,8,Natus Vincere,16,trn,154,620,loss
HellRaisers,16,Titan,5,cch,154,620,win
Liquid,16,CLG,11,trn,321,620,win
Cloud9,11,CLG,16,mrg,430,620,loss
TSM,16,EnVyUs,9,inf,430,83,win
Virtus.pro,3,TSM,16,ovp,160,83,loss
NiP,17,Titan,19,d2,328,83,loss
fnatic,22,TSM,20,mrg,604,83,win
Natus Vincere,16,NiP,11,ovp,620,328,win
NiP,6,Natus Vincere,16,inf,328,620,loss
Liquid,16,Cloud9,12,cbl,321,430,win
fnatic,16,HellRaisers,13,cbl,604,154,win
G2,10,NiP,16,cch,242,328,loss
TSM,5,Virtus.pro,16,ovp,242,160,loss
EnVyUs,16,fnatic,6,trn,83,604,win
NiP,16,mousesports,8,cbl,328,639,win
G2,16,Titan,11,d2,242,639,win
Cloud9,6,Liquid,16,inf,430,321,loss
G2,12,fnatic,16,inf,242,604,loss
Titan,16,EnVyUs,12,d2,242,83,win
G2,16,HellRaisers,10,cch,242,154,win
Titan,13,Natus Vincere,16,trn,242,620,loss
HellRaisers,8,fnatic,16,mrg,154,604,loss
TSM,13,EnVyUs,16,mrg,154,83,loss
EnVyUs,14,NiP,16,d2,83,328,loss
HellRaisers,11,Virtus.pro,16,ovp,154,160,loss
Virtus.pro,11,TSM,16,mrg,160,160,loss
Titan,16,fnatic,10,trn,160,604,win
Virtus.pro,16,fnatic,19,cch,160,604,loss
HellRaisers,9,Dignitas,16,mrg,154,604,loss
Dignitas,5,Natus Vincere,16,ovp,154,620,loss
Dignitas,6,TSM,16,mrg,154,620,loss
Virtus.pro,17,fnatic,19,trn,160,604,loss
Natus Vincere,16,TSM,19,cch,620,604,loss
NiP,12,Virtus.pro,16,inf,328,160,loss
Virtus.pro,5,EnVyUs,16,d2,160,83,loss
Immunity,9,Renegades,16,cch,160,228,loss
NiP,16,Dignitas,8,d2,328,228,win
Dignitas,8,EnVyUs,16,cch,328,83,loss
Luminosity,9,Liquid,16,ovp,328,321,loss
Dignitas,16,mousesports,13,trn,328,639,win
Dignitas,9,fnatic,16,mrg,328,604,loss
mousesports,13,TSM,16,d2,639,604,loss
Titan,13,TSM,16,cbl,639,604,loss
Cloud9,16,Luminosity,7,ovp,430,604,win
Cloud9,19,Liquid,17,d2,430,321,win
NiP,10,EnVyUs,16,mrg,328,83,loss
fnatic,5,EnVyUs,16,cch,604,83,loss
TSM,13,NiP,16,d2,604,328,loss
Natus Vincere,16,EnVyUs,13,trn,620,83,win
TSM,16,Titan,5,ovp,620,83,win
Titan,16,Natus Vincere,13,ovp,620,620,win
HellRaisers,16,fnatic,14,cch,154,604,win
HellRaisers,16,EnVyUs,14,cbl,154,83,win
TSM,16,fnatic,3,d2,154,604,win
EnVyUs,11,Titan,16,mrg,83,604,loss
G2,10,EnVyUs,16,d2,242,83,loss
mousesports,16,Titan,8,mrg,639,83,win
G2,19,TSM,21,d2,242,83,loss
Titan,2,fnatic,16,ovp,242,604,loss
mousesports,10,Titan,16,cch,639,604,loss
fnatic,3,EnVyUs,16,trn,604,83,loss
Dignitas,22,Natus Vincere,19,inf,604,620,win
France,16,Poland,19,cbl,604,620,loss
Dignitas,3,TSM,16,d2,604,620,loss
HellRaisers,16,NiP,2,cbl,154,328,win
Dignitas,19,mousesports,15,cbl,154,639,win
Titan,16,NiP,21,cbl,154,328,loss
EnVyUs,16,G2,13,trn,83,242,win
NiP,10,TSM,16,cbl,328,242,loss
fnatic,16,NiP,14,cbl,604,328,win
Titan,5,TSM,16,ovp,604,328,loss
Titan,16,fnatic,13,trn,604,604,win
TSM,16,HellRaisers,5,ovp,604,154,win
Cloud9,16,Luminosity,6,trn,430,154,win
Dignitas,8,EnVyUs,16,ovp,430,83,loss
NiP,11,HellRaisers,16,cch,328,154,loss
