Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points)
G2,16,Gambit,6,cch,56.2,67,60
mousesports,16,Natus Vincere,11,nuke,57,341,558
fnatic,8,Heroic,16,cbl,65.2,183,117
Virtus.pro,16,G2,10,nuke,,183,67
Natus Vincere,16,mousesports,5,inf,53.9,558,341
Heroic,5,fnatic,16,trn,49.6,117,183
G2,16,Virtus.pro,2,cch,56.2,67,183
HellRaisers,12,FaZe,16,cch,60,129,451
Astralis,16,Space Soldiers,4,inf,71.9,1000,451
Space Soldiers,14,Astralis,16,mrg,,1000,1000
FaZe,16,HellRaisers,7,mrg,62.8,451,129
Astralis,16,mousesports,7,ovp,66.7,1000,341
mousesports,16,Astralis,14,mrg,61.8,341,1000
Gambit,9,Virtus.pro,16,trn,51.8,60,1000
Virtus.pro,9,Gambit,16,cbl,,60,60
fnatic,16,Virtus.pro,11,mrg,61.4,183,60
Virtus.pro,4,fnatic,16,cbl,,183,183
fnatic,16,mousesports,13,cbl,65.2,183,341
mousesports,16,fnatic,8,ovp,52.8,341,183
fnatic,9,FaZe,16,mrg,61.4,183,451
FaZe,7,fnatic,16,ovp,61.2,451,183
Renegades,8,Liquid,16,cch,61.9,109,455
Liquid,19,Renegades,15,cbl,64,455,109
Liquid,16,Cloud9,13,mrg,56.7,455,84
Cloud9,16,Liquid,13,inf,53.4,84,455
FaZe,14,NiP,16,ovp,61.2,451,352
NiP,16,FaZe,8,trn,68.3,352,451
Space Soldiers,16,North,13,cbl,,352,280
Astralis,16,fnatic,9,ovp,66.7,1000,183
Gambit,4,NiP,16,trn,51.8,60,352
fnatic,9,Astralis,16,inf,67.2,183,1000
North,9,Space Soldiers,16,inf,57.6,280,1000
NiP,16,Gambit,7,nuke,77.2,352,60
Liquid,16,NRG,7,mrg,56.7,455,306
NRG,22,Liquid,20,trn,53.8,306,455
NRG,8,Cloud9,16,trn,53.8,306,84
Cloud9,14,NRG,16,inf,53.4,84,306
Space Soldiers,16,fnatic,14,cbl,,84,183
fnatic,16,Space Soldiers,11,mrg,61.4,183,183
Heroic,14,Natus Vincere,16,cch,25,117,558
FaZe,5,North,16,ovp,61.2,451,280
